번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
100,전환지원금 신청하신분 계신가요?,이브이아홉마리I화성,2026.01.28. 13:30,조회 201,kangjae07,신입
101,EV4 증강현실네비 사용하려면 빌캠2 있어야하나요?,하츠동IEV4I광주,2026.01.28. 13:30,조회 150,crazyymca,신입
102,보조금 신청 질문,깽딩IEV4I광주,2026.01.28. 13:28,조회 86,kimjunseo1229,준회원
103,시흥시 보조금 늦어요,피쿠민IEV5l시흥,2026.01.28. 13:27,조회 41,bsi4020,신입
104,[강원도 원주] 전기차 보조금이 25년 대비 줄었네요 ㅠㅠ,낭만수라,2026.01.28. 13:26,조회 103,gungbed,준회원
105,EV4 GT LINE 출고되어 썬팅하러 왔어요,전곡ev4 gt,2026.01.28. 13:26,조회 87,qzqz1111,준회원
106,EV4 내부색상 그레이가 이쁜데...,장군 맘,2026.01.28. 13:26,조회 98,sopie76,신입
107,창원이라 슬프네요 ㅜ,맛집I창원,2026.01.28. 13:22,조회 147,ekrkwk,신입
108,보조금 못받을 확률이 높을까요?,러블리영I예비I강원,2026.01.28. 13:21,조회 223,hyyun08,준회원
109,아이오닉 9 썬팅 다들 어떤거받으셨나용?,뚀뚀ㅣ천안,2026.01.28. 13:18,조회 132,gofks834,준회원
110,"여주시, 전기차 보급사업 조기 추진",해I모y아5I서울,2026.01.28. 13:17,조회 112,hwajakim2,준회원
111,보조금 및 할인관련 궁금합니다.,아이오닉9 강원,2026.01.28. 13:14,조회 127,wonhaw,준회원
112,ev3 재고차 남아 있는 거 있나요?,경북l모델Yl빵심당,2026.01.28. 13:10,조회 188,ytj1862,신입
113,테슬라 일시불 실물카드 우편배송 전에 결제,정시딩,2026.01.28. 13:10,조회 39,jhj2557,신입
114,캐스퍼ev 1년기다리고 구매 가격은 올랐네요 ㅋㅋㅋ,라임I캐스퍼I전주,2026.01.28. 13:07,조회 188,dlgudrb7,준회원
115,"강원자치도, 전기차 7,838대 ‘역대 최대’ 보급… 전년 대비 82% 파격 확대",해I모y아5I서울,2026.01.28. 13:06,조회 91,hwajakim2,준회원
116,현대 다운 프로모션 궁금중,노형I제주,2026.01.28. 13:05,조회 146,jjm3483,신입
117,1회 충전 주행거리 어느 정도면 괜찮을까요?,이브이4 I 인천,2026.01.28. 12:55,조회 125,zero1864,신입
118,코나 일레트릭 보고있는데...,용녀진해,2026.01.28. 12:54,조회 46,xogns7321,신입
119,보통 플러브인하이브리드 차량들,럭꼬I모델3I울산,2026.01.28. 12:51,조회 74,wlswkr123,준회원
120,보조금 접수하면,안녕하IEV3I부산,2026.01.28. 12:46,조회 100,shgusals37,준회원
121,기아 어플에 계약으로 뜨면 확정인건가여??,가즈아96,2026.01.28. 12:46,조회 283,qjawls9130,준회원
122,전기차 충전시,콩콩Iev6I광주,2026.01.28. 12:43,조회 44,r2b83,신입
123,경남이고 창원이고 ..... 이해불가네요 ㅋ,유봉이I볼트EUVl창원,2026.01.28. 12:42,조회 760,didtlfwh,정회원
124,니로 ev,라모스I대구,2026.01.28. 12:38,조회 51,wlsls45,신입
125,모델y 타다가 아이오닉9 추가구매하고자 합니다.,에문ImdyI경기,2026.01.28. 12:38,조회 62,chlgmlans88,신입
126,보조금 신청 접수 후 얼마정도만에 차 받으셨어요?,고산지대lEV3l오산,2026.01.28. 12:37,조회 162,blackcastle2,준회원
127,아반떼 타다가 디스크 터지기직전이라,달빛섬광l충주,2026.01.28. 12:35,조회 163,drivetime,신입
128,오늘 모델 3 시승했습니다.,경남ll모델3,2026.01.28. 12:33,조회 101,willco,신입
129,전기차 충전 재밌네요~,남보로v79,2026.01.28. 12:30,조회 109,namboro,신입
