번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
180,EV5 GT-Line 295만원 가격할인!!!!,건강IEV5I청주,2026.01.22. 10:47,"조회 1,744",ihot486,준회원
181,현대기아차 전기차 가격인하,빵야빵야ll인천,2026.01.22. 10:31,"조회 4,724",mounghun28,신입
182,"“테슬라 모델 Y 한판 붙자”…볼보, 중형 전기차 SUV ‘EX60’ 공개…WLTP 기준 최대 810㎞ 주행",해I모y아5I서울,2026.01.22. 10:25,"조회 3,401",hwajakim2,준회원
183,EV5 할인!! 들어간답니다.,경기i첫뚱,2026.01.22. 09:27,"조회 6,494",ykh8536,준회원
184,"ev5,ev6 가격 인하..?",야생마IEV6I경남,2026.01.22. 09:12,"조회 1,536",siyul3731,준회원
185,"연봉 4천, 전기차 사고싶은데 무슨 차종이 좋을까요?",감자불,2026.01.22. 09:11,"조회 1,637",dbswl4911,신입
186,현재 테슬라 홈페이지에서 주문 가능한 모델 Y Long Range가,으라차차V,2026.01.22. 08:50,"조회 5,579",belovely76,신입
187,EV6도 가격내렸네요,엔드IEV6I대전,2026.01.22. 08:36,"조회 2,217",nocturne_7,준회원
188,"와...EV5 280만원, EV6 300만원 전격 인하",집사고싶당,2026.01.22. 08:32,"조회 1,192",skyboy707,신입
189,EV3랑 EV4 기본 할인 들어가네요,적당히먹기ll경북,2026.01.22. 08:25,"조회 1,400",qqwyr2146,준회원
190,EV5 스탠다드 출시 & 롱레 가격인하,이비5 I 서울,2026.01.22. 08:11,"조회 1,148",elves99,준회원
191,,,,,,
192,테슬라 고민....,짱구210,2026.01.21. 20:18,"조회 1,395",monkey6051704,준회원
193,"아이오닉3 vs 기아 EV3·EV2·테슬라 모델 3, 전기차 4파전 격돌",해I모y아5I서울,2026.01.21. 17:31,"조회 2,772",hwajakim2,준회원
194,오늘자(1/21) 지자체 보조금 확정 현황,어메이징권I이천,2026.01.21. 16:18,"조회 1,956",scoupe74,준회원
195,테슬라가 미친겁니다,광주lEG80,2026.01.21. 16:09,"조회 2,940",little0327,준회원
196,국토교통부 ICCU 점검 떴네요.,털구l아9l성남,2026.01.21. 14:53,"조회 2,323",toplee2085,준회원
197,카플리 이벤트#6 당첨 축하드립니다,케니lI스텝,2026.01.21. 14:13,조회 538,ktaejung,카페 스탭
198,고급 전기차 1억 언더 추천해주세요,다몽아빠,2026.01.21. 12:28,"조회 1,555",hsy9895,준회원
199,씨라이언7 vs EV4,내연그만타자l의정부,2026.01.21. 12:26,"조회 1,994",eejangho,신입
200,서울시 보조금 떳으니...인천도 언능 뜨길 바랍니다...ㅋㅋㅋ,청라IiX2I인천,2026.01.21. 12:22,"조회 1,124",sniper3181,준회원
201,"테슬라가 쏘아올린 ‘가격 파괴’…현대차·기아, ‘안방 사수’ 총력",해I모y아5I서울,2026.01.21. 11:51,"조회 7,782",hwajakim2,준회원
202,ev3 트림 보태보태병...조언좀요 ㅠㅠ,안운l인천,2026.01.21. 11:36,조회 863,ahyoon2001,준회원
203,5000만원짜리 전기차 사는데 필요한 세후 월급조사,파인드Ii5I서울,2026.01.21. 11:33,"조회 2,424",ffminjong,준회원
204,경) 현대차 시총 100 조 돌파 (츅,런너I캐스퍼GV60l해운,2026.01.21. 11:04,"조회 1,277",bsg0834,우수회원
205,보조금 지역별로 빈부격차 너무 심하네요,쨔스IEV5I경기,2026.01.21. 10:52,"조회 1,671",code_geas,준회원
206,"전기차보조금 조기소진,,",전기차로바꿔I강원,2026.01.21. 10:43,"조회 1,412",skyyuin1008,준회원
207,"니들이 전기차 보급이 목표라며,,, 충전비는 왜이래,,, 🤣",츕츕I모Y2008EI분당,2026.01.21. 10:06,"조회 2,250",eungjjujju,준회원
208,현대차 품질과 서비스 이게 맞나요?,판타아이오닉5경기,2026.01.21. 09:51,"조회 2,094",fantagis,신입
209,,,,,,
210,순천광양여수 자자체문의 결과,헬린이IEV5I광양,2026.01.21. 09:31,조회 687,sarang660,준회원
211,[가입인사] 2026년도 전기차 보조금,소금반팔l원주,2026.01.21. 09:02,조회 733,alsehddl789,신입
212,"""삼성"" 전기자동차 왜 만들까?",한센l아이오닉l전남,2026.01.21. 08:39,"조회 1,913",jipangyi,준회원
213,주행거리 저도 문제가 있는거 같네요,루이 I IONIC6 I인,2026.01.21. 08:34,"조회 1,046",kasakiz,준회원
214,모y주니퍼 운행 소유자분들께 질문좀.,테슬라와이I전남,2026.01.21. 08:20,조회 868,40510527,준회원
215,iccu 비율이 높은가봐요 기분탓인가?,모와아구I주니퍼,2026.01.21. 07:18,조회 698,g9_,준회원
216,계약시 딜러가 서비스 언급을 안했는데..,땅콩잉꼬,2026.01.21. 05:30,조회 789,yuna5643,준회원
217,아파트 충전구역이 반토막나서 짜증납니다.,호랑호랑I경기,2026.01.21. 02:42,조회 982,usas00,준회원
218,혹시 2월에 현기차 할인폭이 더 커질까요?,슬로우I아오5I전북,2026.01.21. 01:16,"조회 1,011",im5ssam,준회원
219,차 가격이 5000이 싼게 아닌데..,최강한화I아9I대전,2026.01.21. 00:47,"조회 2,248",hyeasung1988,준회원
220,초보 여자가 탈만한 벤츠 전기차 있나요?,서울숲007,2026.01.21. 00:36,조회 685,gusn12345,신입
221,씨라이언7후기…,의밍,2026.01.21. 00:15,"조회 1,005",dkssi03,신입
222,카플리#6) 마감 3200mA LED 랜턴 10개 나눔,케니lI스텝,2026.01.20. 19:07,조회 837,ktaejung,카페 스탭
